,gameId,playId,passLength,offenseFormation,defendersInTheBox,tackleZone_5to10,tackleZone_3to7,tackleZone_2to5,tackleZone_1to3,tackleZone_5to10_blck,tackleZone_3to7_blck,tackleZone_2to5_blck,tackleZone_1to3_blck,YAC,prePenaltyPlayResult
20,2022090800,2307,21.0,EMPTY,5.0,4,3,3,2,0,0,0,0,2.0,23
21,2022091102,1517,14.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,0.0,14
22,2022091107,3299,3.0,EMPTY,6.0,2,2,2,1,0,0,0,0,3.0,6
23,2022091104,3059,2.0,SHOTGUN,6.0,5,2,2,2,1,0,0,0,2.0,4
24,2022091110,2474,15.0,EMPTY,6.0,3,2,2,1,0,0,0,0,15.0,30
25,2022091200,1487,16.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,0.0,16
26,2022091100,1359,4.0,EMPTY,6.0,4,3,3,2,1,0,0,0,2.0,6
27,2022091106,196,9.0,SHOTGUN,8.0,2,2,2,1,0,0,0,0,2.0,11
28,2022091110,1338,-2.0,SHOTGUN,7.0,3,1,1,1,1,0,0,0,6.0,4
29,2022091101,3591,4.0,SHOTGUN,7.0,2,2,2,2,0,0,0,0,1.0,5
30,2022091200,786,1.0,SINGLEBACK,6.0,3,3,2,1,1,0,0,0,6.0,7
31,2022091113,1689,1.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,4.0,5
32,2022091106,130,4.0,SHOTGUN,5.0,5,4,4,2,1,1,1,0,4.0,8
33,2022091113,3971,4.0,SHOTGUN,5.0,3,2,2,1,1,0,0,0,6.0,10
34,2022091101,1945,-3.0,SHOTGUN,5.0,3,2,2,1,3,3,2,1,27.0,24
35,2022091102,2302,30.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,14.0,44
36,2022091113,3853,16.0,SHOTGUN,5.0,3,3,3,3,0,0,0,0,1.0,17
37,2022091103,4686,3.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,3.0,6
38,2022091106,2191,1.0,SINGLEBACK,7.0,3,2,2,2,0,0,0,0,14.0,15
39,2022091109,163,13.0,SINGLEBACK,6.0,2,2,2,2,0,0,0,0,2.0,15
40,2022091106,290,3.0,SHOTGUN,7.0,3,2,2,1,1,0,0,0,5.0,8
41,2022091107,911,7.0,SINGLEBACK,8.0,3,1,1,1,0,0,0,0,4.0,11
42,2022091111,2806,2.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,8.0,10
43,2022091107,2285,-3.0,SINGLEBACK,7.0,2,1,1,1,3,3,0,0,18.0,15
44,2022091108,445,14.0,SHOTGUN,6.0,4,4,2,2,0,0,0,0,0.0,14
45,2022091104,1847,4.0,SHOTGUN,6.0,3,3,2,2,0,0,0,0,0.0,4
46,2022091110,1515,5.0,EMPTY,7.0,3,2,2,2,0,0,0,0,0.0,5
47,2022091103,2058,3.0,SHOTGUN,7.0,3,3,2,2,1,1,0,0,0.0,3
48,2022091109,1475,-2.0,EMPTY,6.0,4,3,2,1,4,2,1,0,8.0,6
49,2022091100,121,1.0,SHOTGUN,6.0,5,5,3,2,1,0,0,0,4.0,5
50,2022091110,240,11.0,SHOTGUN,5.0,2,2,2,1,0,0,0,0,7.0,18
51,2022091101,1785,-1.0,SHOTGUN,8.0,4,3,2,1,1,0,0,0,2.0,1
52,2022091109,1681,0.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,10.0,10
53,2022091101,1744,20.0,SHOTGUN,6.0,2,1,1,1,0,0,0,0,30.0,50
54,2022091110,3002,2.0,SHOTGUN,5.0,4,2,1,1,1,0,0,0,6.0,8
55,2022091113,1339,5.0,SHOTGUN,6.0,3,2,2,2,1,0,0,0,0.0,5
56,2022091107,3323,2.0,SHOTGUN,6.0,3,2,1,1,1,1,0,0,6.0,8
57,2022091200,467,4.0,EMPTY,4.0,4,2,2,1,0,0,0,0,2.0,6
58,2022091101,109,-3.0,EMPTY,5.0,3,1,1,1,2,1,0,0,7.0,4
59,2022091110,2845,8.0,SHOTGUN,6.0,3,2,2,1,2,1,0,0,2.0,10
60,2022091200,1521,7.0,SINGLEBACK,7.0,2,2,1,1,1,0,0,0,11.0,18
61,2022091101,3101,0.0,SHOTGUN,7.0,4,2,1,0,2,2,1,0,12.0,12
62,2022091112,2346,9.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,0.0,9
63,2022091112,991,-2.0,SHOTGUN,7.0,3,2,1,1,1,1,1,0,6.0,4
64,2022091112,3696,13.0,SHOTGUN,6.0,2,2,2,1,1,0,0,0,2.0,15
65,2022091107,3551,4.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,0.0,4
66,2022091105,2425,18.0,SINGLEBACK,6.0,2,2,1,1,0,0,0,0,4.0,22
67,2022091103,4872,0.0,SHOTGUN,4.0,3,2,1,1,1,0,0,0,6.0,6
68,2022091109,1968,7.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,1.0,8
69,2022091112,1236,7.0,SHOTGUN,6.0,4,4,4,2,1,1,1,0,0.0,7
70,2022091106,2840,-4.0,SINGLEBACK,7.0,5,1,1,1,4,1,0,0,11.0,7
71,2022091113,3947,13.0,SHOTGUN,4.0,4,3,3,3,0,0,0,0,0.0,13
72,2022091105,3387,5.0,SINGLEBACK,8.0,3,2,1,1,0,0,0,0,2.0,7
73,2022090800,236,15.0,I_FORM,7.0,2,1,1,1,0,0,0,0,11.0,26
74,2022091111,3433,6.0,SHOTGUN,6.0,3,3,3,3,0,0,0,0,1.0,7
75,2022091111,2360,5.0,SHOTGUN,5.0,4,4,3,2,1,1,0,0,4.0,9
76,2022091108,2353,13.0,SINGLEBACK,7.0,3,2,2,1,0,0,0,0,14.0,27
77,2022090800,2336,4.0,SINGLEBACK,5.0,2,2,2,2,0,0,0,0,6.0,10
78,2022091107,3139,13.0,EMPTY,6.0,2,2,1,1,0,0,0,0,4.0,17
79,2022091108,2208,37.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,28.0,65
80,2022091112,736,-5.0,EMPTY,7.0,4,2,1,1,3,2,1,0,11.0,6
81,2022091109,2747,10.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,1.0,11
82,2022091103,2740,6.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,0.0,6
83,2022091112,1946,1.0,SHOTGUN,7.0,3,2,2,2,1,1,1,1,1.0,2
84,2022091108,2914,-2.0,SINGLEBACK,6.0,2,2,2,1,3,3,3,1,8.0,6
85,2022091200,2268,3.0,SHOTGUN,5.0,3,2,1,1,0,0,0,0,5.0,8
86,2022091105,643,13.0,SINGLEBACK,7.0,3,2,2,1,0,0,0,0,7.0,20
87,2022090800,2860,3.0,SHOTGUN,5.0,3,2,2,1,0,0,0,0,4.0,7
88,2022091106,2019,3.0,SHOTGUN,6.0,4,4,2,1,1,0,0,0,3.0,6
89,2022091112,3128,-6.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,11.0,5
90,2022091101,4068,-2.0,EMPTY,6.0,3,2,2,1,0,0,0,0,0.0,-2
91,2022091108,216,11.0,SHOTGUN,7.0,2,1,1,1,1,0,0,0,9.0,20
92,2022091107,1260,10.0,PISTOL,6.0,2,2,2,1,0,0,0,0,1.0,11
93,2022091104,580,-2.0,SINGLEBACK,6.0,2,2,2,2,3,1,1,1,0.0,-2
94,2022091109,2083,0.0,SHOTGUN,5.0,2,2,2,1,0,0,0,0,-5.0,-5
95,2022091107,412,3.0,SHOTGUN,6.0,3,3,3,2,0,0,0,0,0.0,3
96,2022090800,3166,5.0,SHOTGUN,4.0,3,3,3,3,1,0,0,0,1.0,6
97,2022090800,867,-1.0,SINGLEBACK,7.0,3,2,1,1,0,0,0,0,3.0,2
98,2022091104,713,11.0,SHOTGUN,5.0,3,3,1,1,0,0,0,0,7.0,18
99,2022091104,4001,5.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,8.0,13
100,2022091110,750,-1.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,12.0,11
101,2022091101,3263,14.0,SHOTGUN,6.0,2,1,1,1,0,0,0,0,5.0,19
102,2022091110,1560,-5.0,SHOTGUN,7.0,1,1,1,1,0,0,0,0,11.0,6
103,2022091200,3125,-4.0,SINGLEBACK,6.0,5,3,2,1,4,3,2,1,5.0,1
104,2022091107,2891,12.0,SHOTGUN,5.0,3,2,1,1,0,0,0,0,0.0,12
105,2022091107,3475,9.0,SHOTGUN,6.0,3,2,2,1,1,0,0,0,0.0,9
106,2022091108,1132,-3.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,4.0,1
107,2022091113,65,3.0,SHOTGUN,6.0,4,3,2,2,0,0,0,0,4.0,7
108,2022091104,2468,-1.0,SHOTGUN,6.0,4,3,2,1,4,3,1,0,6.0,5
109,2022091111,2065,3.0,SHOTGUN,4.0,2,2,2,2,0,0,0,0,2.0,5
110,2022091107,2866,12.0,SHOTGUN,6.0,4,3,3,3,0,0,0,0,0.0,12
111,2022091105,503,-3.0,EMPTY,5.0,5,2,1,1,2,2,1,0,5.0,2
112,2022091108,3153,11.0,SINGLEBACK,7.0,4,4,3,3,0,0,0,0,0.0,11
113,2022091112,2093,4.0,SHOTGUN,5.0,3,3,2,2,0,0,0,0,1.0,5
114,2022091112,227,1.0,SHOTGUN,6.0,3,2,2,1,0,0,0,0,1.0,2
115,2022091105,912,4.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,1.0,5
116,2022091103,2483,-3.0,SHOTGUN,6.0,8,7,6,2,6,5,5,2,5.0,2
117,2022091110,2810,1.0,SHOTGUN,7.0,3,2,2,1,1,1,0,0,3.0,4
118,2022090800,617,12.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,0.0,12
119,2022091111,232,-6.0,SINGLEBACK,6.0,4,3,1,1,3,1,0,0,3.0,-3
120,2022091101,3545,6.0,SHOTGUN,6.0,3,3,1,0,1,0,0,0,2.0,8
121,2022091109,433,23.0,SHOTGUN,7.0,2,2,2,1,0,0,0,0,3.0,26
122,2022091103,111,0.0,SHOTGUN,7.0,3,2,2,1,0,0,0,0,1.0,1
123,2022091106,1040,7.0,EMPTY,6.0,2,2,2,2,0,0,0,0,0.0,7
124,2022091107,3374,-1.0,SHOTGUN,5.0,4,2,2,1,3,2,2,0,10.0,9
125,2022091103,5096,7.0,SHOTGUN,7.0,2,2,2,2,0,0,0,0,3.0,10
126,2022091200,109,13.0,SHOTGUN,6.0,3,1,1,1,0,0,0,0,4.0,17
127,2022091101,1691,-1.0,SHOTGUN,6.0,3,2,2,1,1,0,0,0,8.0,7
128,2022091104,2130,0.0,SHOTGUN,6.0,4,2,2,1,2,0,0,0,8.0,8
129,2022091103,5039,20.0,SHOTGUN,4.0,3,3,2,1,0,0,0,0,6.0,26
130,2022090800,2232,6.0,SHOTGUN,6.0,3,3,2,2,0,0,0,0,1.0,7
131,2022091100,1769,4.0,SHOTGUN,5.0,3,3,3,3,0,0,0,0,1.0,5
132,2022090800,980,5.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,0.0,5
133,2022091102,2103,-4.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,2.0,-2
134,2022091106,633,-3.0,SHOTGUN,8.0,3,2,2,2,1,0,0,0,0.0,-3
135,2022091101,542,14.0,SHOTGUN,7.0,2,2,2,2,0,0,0,0,1.0,15
136,2022091113,2696,3.0,SINGLEBACK,6.0,3,2,2,1,0,0,0,0,2.0,5
137,2022091106,974,12.0,SHOTGUN,6.0,5,3,2,2,2,0,0,0,2.0,14
138,2022091103,1565,11.0,SINGLEBACK,6.0,2,2,2,2,0,0,0,0,10.0,21
139,2022091101,2407,0.0,SHOTGUN,6.0,3,2,2,0,1,0,0,0,1.0,1
140,2022091109,3909,3.0,SHOTGUN,6.0,3,3,1,1,1,0,0,0,2.0,5
141,2022091100,3554,-5.0,SHOTGUN,6.0,3,3,2,2,4,3,2,1,-5.0,-10
142,2022091108,1354,2.0,SINGLEBACK,7.0,5,2,2,1,2,0,0,0,2.0,4
143,2022091105,3625,13.0,EMPTY,5.0,3,3,2,2,0,0,0,0,3.0,16
144,2022091111,2922,3.0,SHOTGUN,7.0,4,4,3,2,1,0,0,0,3.0,6
145,2022091106,1401,9.0,SHOTGUN,6.0,4,3,2,1,0,0,0,0,5.0,14
146,2022091200,2009,18.0,SINGLEBACK,6.0,4,3,2,1,0,0,0,0,0.0,18
147,2022091112,1382,1.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,2.0,3
148,2022091112,2428,-1.0,SINGLEBACK,7.0,2,2,2,2,0,0,0,0,1.0,0
149,2022091101,3862,-5.0,SHOTGUN,6.0,3,2,2,1,4,3,1,0,26.0,21
150,2022091112,2569,3.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,1.0,4
151,2022091103,1249,-1.0,JUMBO,11.0,2,2,2,2,0,0,0,0,2.0,1
152,2022091113,2030,-3.0,PISTOL,6.0,4,3,2,1,3,2,1,1,3.0,0
153,2022091106,1819,-1.0,SINGLEBACK,7.0,2,2,2,2,0,0,0,0,0.0,-1
154,2022091103,2780,7.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,0.0,7
155,2022091113,2222,0.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,4.0,4
156,2022091200,3149,6.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,12.0,18
157,2022091111,1946,-3.0,SHOTGUN,5.0,2,2,2,2,5,4,4,1,16.0,13
158,2022091102,3783,12.0,SHOTGUN,6.0,4,3,3,1,1,0,0,0,1.0,13
159,2022091109,587,5.0,SHOTGUN,6.0,3,2,2,2,1,0,0,0,2.0,7
160,2022091109,3840,8.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,4.0,12
161,2022091101,1384,0.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,12.0,12
162,2022091100,1552,8.0,PISTOL,8.0,5,4,4,2,0,0,0,0,1.0,9
163,2022091109,2452,5.0,SHOTGUN,6.0,2,2,2,1,1,0,0,0,8.0,13
164,2022091104,238,6.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,3.0,9
165,2022091110,3399,3.0,EMPTY,5.0,3,3,2,2,1,1,0,0,5.0,8
166,2022091111,1392,6.0,SHOTGUN,7.0,2,2,2,1,0,0,0,0,5.0,11
167,2022091105,2196,-4.0,SHOTGUN,6.0,3,2,1,1,2,1,0,0,18.0,14
168,2022091100,3177,20.0,SHOTGUN,4.0,3,2,2,2,0,0,0,0,11.0,31
169,2022091107,3811,1.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,15.0,16
170,2022091105,1456,3.0,SHOTGUN,6.0,4,3,2,1,1,0,0,0,2.0,5
171,2022091106,704,-3.0,SHOTGUN,6.0,4,3,3,1,4,2,2,1,20.0,17
172,2022091111,3404,4.0,EMPTY,5.0,2,2,2,2,0,0,0,0,8.0,12
173,2022091109,128,11.0,SHOTGUN,6.0,4,2,2,1,0,0,0,0,14.0,25
174,2022091104,1938,5.0,SHOTGUN,6.0,3,2,2,2,1,1,0,0,8.0,13
175,2022091200,2522,15.0,SHOTGUN,4.0,2,2,2,2,0,0,0,0,0.0,15
176,2022091107,2803,1.0,SINGLEBACK,6.0,2,2,1,1,0,0,0,0,7.0,8
177,2022091111,2657,14.0,SINGLEBACK,6.0,4,1,1,1,0,0,0,0,9.0,23
178,2022091106,1653,12.0,SHOTGUN,6.0,4,3,3,1,0,0,0,0,30.0,42
179,2022091200,3491,-4.0,SHOTGUN,5.0,4,2,2,1,3,0,0,0,6.0,2
180,2022091113,413,-2.0,SHOTGUN,6.0,4,3,2,2,3,2,2,1,26.0,24
181,2022091105,1405,15.0,SHOTGUN,7.0,3,2,2,2,1,1,1,0,1.0,16
182,2022091100,3310,11.0,PISTOL,5.0,3,3,2,2,0,0,0,0,2.0,13
183,2022091106,1544,21.0,SHOTGUN,6.0,3,3,2,1,0,0,0,0,5.0,26
184,2022091104,910,0.0,SHOTGUN,6.0,3,2,2,1,0,0,0,0,4.0,4
185,2022091107,636,21.0,SINGLEBACK,7.0,4,2,1,1,0,0,0,0,3.0,24
186,2022091104,58,-6.0,SINGLEBACK,7.0,2,2,2,1,0,0,0,0,5.0,-1
187,2022091105,4905,-2.0,SHOTGUN,4.0,1,1,1,1,5,1,0,0,22.0,20
188,2022091105,4488,6.0,EMPTY,5.0,4,3,2,2,1,1,0,0,9.0,15
189,2022090800,1712,5.0,SHOTGUN,6.0,3,3,2,1,1,0,0,0,4.0,9
190,2022091110,1068,6.0,EMPTY,6.0,4,2,1,0,0,0,0,0,11.0,17
191,2022091104,689,0.0,PISTOL,6.0,7,2,2,2,4,3,1,1,10.0,10
192,2022091111,475,15.0,SHOTGUN,6.0,5,4,4,3,0,0,0,0,1.0,16
193,2022091107,1779,5.0,SHOTGUN,6.0,4,3,1,1,1,0,0,0,8.0,13
194,2022091111,336,4.0,EMPTY,6.0,5,4,4,2,1,0,0,0,7.0,11
195,2022091103,2670,-1.0,SHOTGUN,5.0,2,1,1,1,0,0,0,0,11.0,10
196,2022091101,4104,14.0,SHOTGUN,6.0,3,2,1,1,0,0,0,0,-1.0,13
197,2022091102,2894,22.0,SINGLEBACK,6.0,2,1,1,1,0,0,0,0,0.0,22
198,2022091103,3849,8.0,SHOTGUN,5.0,3,3,3,2,0,0,0,0,6.0,14
199,2022091107,3835,5.0,SHOTGUN,4.0,4,3,3,2,1,0,0,0,0.0,5
200,2022091113,708,19.0,I_FORM,6.0,2,2,2,2,0,0,0,0,0.0,19
201,2022091105,865,4.0,I_FORM,7.0,1,1,1,1,0,0,0,0,1.0,5
202,2022091113,155,16.0,SHOTGUN,6.0,3,2,2,1,0,0,0,0,0.0,16
203,2022090800,2208,-5.0,SHOTGUN,6.0,2,2,2,1,1,0,0,0,13.0,8
204,2022091111,401,19.0,SHOTGUN,6.0,3,3,2,2,0,0,0,0,2.0,21
205,2022091107,3419,7.0,SINGLEBACK,8.0,4,3,3,2,0,0,0,0,0.0,7
206,2022091112,1700,-2.0,EMPTY,4.0,4,3,3,1,5,4,2,0,3.0,1
207,2022091107,1399,1.0,SINGLEBACK,6.0,2,2,2,1,0,0,0,0,4.0,5
208,2022091108,3875,18.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,3.0,21
209,2022091106,3253,12.0,SINGLEBACK,7.0,5,4,4,2,0,0,0,0,0.0,12
210,2022091104,1528,3.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,24.0,27
211,2022091101,2951,2.0,SHOTGUN,7.0,4,3,3,1,3,1,1,0,1.0,3
212,2022091107,2934,15.0,SINGLEBACK,6.0,3,3,3,2,0,0,0,0,0.0,15
213,2022091106,2978,4.0,SHOTGUN,6.0,3,3,2,1,0,0,0,0,3.0,7
214,2022090800,3383,6.0,SHOTGUN,6.0,3,2,2,2,1,0,0,0,2.0,8
215,2022091107,4047,18.0,SHOTGUN,4.0,4,2,2,2,1,0,0,0,1.0,19
216,2022091105,249,13.0,SINGLEBACK,7.0,3,2,2,1,0,0,0,0,4.0,17
217,2022091113,3355,13.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,9.0,22
218,2022091105,1518,4.0,SHOTGUN,6.0,4,3,3,1,0,0,0,0,1.0,5
219,2022091107,1879,6.0,SHOTGUN,5.0,4,4,3,2,1,1,1,0,-6.0,0
220,2022091112,251,2.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,5.0,7
221,2022090800,364,22.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,1.0,23
222,2022091111,923,28.0,SINGLEBACK,7.0,4,4,3,1,0,0,0,0,14.0,42
223,2022091200,2093,-5.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,6.0,1
224,2022091106,1239,26.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,1.0,27
225,2022091101,4150,7.0,SHOTGUN,6.0,4,2,1,1,1,0,0,0,2.0,9
226,2022091103,58,0.0,SHOTGUN,6.0,7,5,3,2,5,4,4,2,3.0,3
227,2022091109,1309,4.0,EMPTY,6.0,3,3,3,2,0,0,0,0,0.0,4
228,2022091105,77,-4.0,SINGLEBACK,6.0,6,4,2,1,4,4,1,1,7.0,3
229,2022091200,1057,-5.0,SHOTGUN,5.0,2,2,1,1,0,0,0,0,5.0,0
230,2022091110,2022,11.0,SHOTGUN,6.0,4,3,2,2,0,0,0,0,1.0,12
231,2022091107,3503,4.0,SHOTGUN,6.0,4,3,2,2,0,0,0,0,1.0,5
232,2022091112,181,6.0,EMPTY,5.0,1,1,1,1,0,0,0,0,16.0,22
233,2022091200,1004,6.0,PISTOL,6.0,2,2,2,2,0,0,0,0,2.0,8
234,2022090800,3092,-5.0,SHOTGUN,6.0,1,1,1,1,0,0,0,0,10.0,5
235,2022091103,2569,3.0,SHOTGUN,3.0,3,2,1,1,0,0,0,0,5.0,8
236,2022091108,705,4.0,EMPTY,6.0,4,2,2,2,1,1,0,0,5.0,9
237,2022091200,3596,3.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,2.0,5
238,2022091102,2639,21.0,SHOTGUN,4.0,1,1,1,1,0,0,0,0,30.0,51
239,2022091107,230,3.0,SHOTGUN,6.0,4,4,3,2,0,0,0,0,1.0,4
240,2022091103,1126,-3.0,SINGLEBACK,6.0,3,1,1,1,3,1,0,0,35.0,32
241,2022090800,692,1.0,SHOTGUN,6.0,3,2,2,1,1,0,0,0,2.0,3
242,2022091105,445,3.0,SHOTGUN,7.0,4,3,2,1,0,0,0,0,2.0,5
243,2022090800,2572,2.0,SHOTGUN,7.0,4,4,3,3,1,0,0,0,2.0,4
244,2022091112,2907,21.0,EMPTY,6.0,3,2,2,2,0,0,0,0,0.0,21
245,2022091100,1672,-2.0,SHOTGUN,7.0,5,4,2,2,2,2,1,0,3.0,1
246,2022091109,2848,7.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,0.0,7
247,2022091104,3842,-6.0,SHOTGUN,7.0,5,3,2,1,5,2,0,0,4.0,-2
248,2022091109,839,1.0,EMPTY,4.0,2,2,2,2,0,0,0,0,11.0,12
249,2022091111,1307,-5.0,SHOTGUN,6.0,7,4,2,1,8,6,4,2,13.0,8
250,2022091105,794,7.0,SHOTGUN,6.0,4,4,4,2,0,0,0,0,2.0,9
251,2022091112,3270,12.0,SINGLEBACK,6.0,2,1,1,1,0,0,0,0,5.0,17
252,2022091113,267,4.0,PISTOL,6.0,4,4,2,1,0,0,0,0,5.0,9
253,2022091112,3720,5.0,SHOTGUN,6.0,3,2,2,1,1,0,0,0,8.0,13
254,2022090800,3190,2.0,SHOTGUN,6.0,3,2,2,2,1,0,0,0,3.0,5
255,2022091109,1915,3.0,SHOTGUN,6.0,2,2,2,1,0,0,0,0,15.0,18
256,2022091110,514,-7.0,SINGLEBACK,8.0,1,1,1,1,0,0,0,0,32.0,25
257,2022091200,3723,2.0,SHOTGUN,5.0,4,3,2,1,0,0,0,0,7.0,9
258,2022091105,1613,3.0,SHOTGUN,5.0,2,2,2,1,0,0,0,0,1.0,4
259,2022091200,3216,0.0,SINGLEBACK,6.0,2,1,1,1,1,0,0,0,14.0,14
260,2022091107,1236,5.0,PISTOL,7.0,2,2,1,1,0,0,0,0,0.0,5
261,2022091106,2329,0.0,EMPTY,5.0,4,4,1,1,3,3,2,0,18.0,18
262,2022091113,3807,4.0,SHOTGUN,6.0,3,2,2,1,0,0,0,0,3.0,7
263,2022091108,1698,-5.0,SHOTGUN,6.0,4,2,2,1,4,3,1,0,16.0,11
264,2022091103,2976,22.0,SHOTGUN,6.0,3,3,3,2,1,0,0,0,0.0,22
265,2022090800,56,5.0,SHOTGUN,6.0,4,3,3,2,1,0,0,0,1.0,6
266,2022091111,3123,3.0,SHOTGUN,5.0,3,3,3,2,0,0,0,0,2.0,5
267,2022091108,347,5.0,SHOTGUN,6.0,4,4,4,3,2,0,0,0,0.0,5
268,2022091103,4710,2.0,SHOTGUN,8.0,3,3,2,2,1,0,0,0,-2.0,0
269,2022091109,928,-1.0,SHOTGUN,5.0,3,2,2,2,1,0,0,0,10.0,9
270,2022091111,1416,30.0,I_FORM,6.0,3,2,2,2,0,0,0,0,0.0,30
271,2022091111,3147,22.0,SHOTGUN,6.0,3,3,3,2,0,0,0,0,9.0,31
272,2022091107,3037,1.0,SHOTGUN,5.0,2,2,2,1,0,0,0,0,1.0,2
273,2022091109,4051,10.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,4.0,14
274,2022091108,791,4.0,SHOTGUN,5.0,2,1,1,1,0,0,0,0,27.0,31
275,2022090800,212,6.0,SHOTGUN,6.0,2,2,2,2,0,0,0,0,2.0,8
276,2022091111,2020,3.0,SHOTGUN,6.0,2,2,1,1,0,0,0,0,2.0,5
277,2022091112,1613,17.0,SINGLEBACK,5.0,1,1,1,1,0,0,0,0,19.0,36
278,2022091200,1764,17.0,SHOTGUN,5.0,2,1,1,1,1,0,0,0,13.0,30
279,2022090800,2527,9.0,SHOTGUN,6.0,4,3,3,2,1,0,0,0,2.0,11
280,2022091108,3318,4.0,SHOTGUN,6.0,3,3,3,3,0,0,0,0,3.0,7
281,2022091103,1648,4.0,EMPTY,5.0,3,2,2,2,0,0,0,0,1.0,5
282,2022091107,3527,2.0,SHOTGUN,5.0,2,2,2,2,0,0,0,0,1.0,3
283,2022091106,950,4.0,SHOTGUN,6.0,3,2,1,1,0,0,0,0,7.0,11
284,2022091108,171,13.0,SINGLEBACK,8.0,3,3,3,3,0,0,0,0,0.0,13
285,2022091111,3295,-2.0,SINGLEBACK,7.0,3,2,2,1,0,0,0,0,6.0,4
286,2022091102,3628,9.0,SHOTGUN,6.0,6,3,3,2,1,0,0,0,0.0,9
